,timestamp,user,nofol,retfl,noret,nofav,text,picurl,time,date
990,2016-12-20 11:30:00,123Telangana,5113,False,0,1,KTR @KTRTRS Strong Counter to Jana Reddy Warning in Telangana Assembly Sessions @ https://t.co/OZX5TuxAqM,http://pbs.twimg.com/profile_images/497398494533918720/dy81E2TN_normal.jpeg,11:30:00,2016-12-20
991,2016-12-20 11:13:00,123Telangana,5113,False,1,1,Official Page of Telangana CM Shri KCR garu - https://t.co/rWSdFVjMzO . Like this Page on @facebook . @KTRTRS @RaoKavitha @trsharish,http://pbs.twimg.com/profile_images/497398494533918720/dy81E2TN_normal.jpeg,11:13:00,2016-12-20
992,2016-12-20 10:05:00,HukkarTaipodia,9,False,0,0,"@rsprasad @GoI_MeitY @CSCegov_ @_DigitalIndia @KTRTRS @BJP4Telangana ,Such training need to be given to make cashless transection successful",http://pbs.twimg.com/profile_images/811152140316147712/K6uK-nB2_normal.jpg,10:05:00,2016-12-20
993,2016-12-20 08:37:00,kirankumarwifi,26,False,0,0,"Bangaru Telangana will remain a dream till we develop Tier 2 and tier 3 cities.
2016-12-20 08:16:14,kirankumarwifi,26,False,1,0,""KCR family will MTGA (Make Telangana Great Again).
2016-12-20 07:40:05,TelanganaPost1,4434,True,1,0,RT @DODLARAVISANJAY: @MinIT_Telangana @KTRTRS @TelanganaToday Great move to make Hyderabad an international city.,http://pbs.twimg.com/profile_images/771038240329588736/HhJlV76r_normal.jpg,,,
2016-12-20 05:23:56,OrugalluBidda,1209,True,1,0,""RT @mallik1979: Very good speech. Objective and forthcoming. Matter of integrity and determination. Great going @TelanganaDGP .
2016-12-20 03:56:40,dennismarcus,2818,True,52,0,RT @MinIT_Telangana: 1545 polluting units to be shifted out of ORR. Stringent pollution control norms to be implemented: @KTRTRS @Telangana…,http://pbs.twimg.com/profile_images/781578830540640256/pRr51t6U_normal.jpg,,,
2016-12-20 03:56:34,dennismarcus,2818,True,21,0,""RT @MinIT_Telangana: Minister @KTRTRS spoke about positive impact of TSiPASS, in Legislative Council on Monday. https://t.co/zCtaxKYsIY",http://pbs.twimg.com/profile_images/781578830540640256/pRr51t6U_normal.jpg,08:37:00,2016-12-20
994,2016-12-20 03:54:00,Dasthageer99,11097,True,52,0,RT @MinIT_Telangana: 1545 polluting units to be shifted out of ORR. Stringent pollution control norms to be implemented: @KTRTRS @Telangana…,http://pbs.twimg.com/profile_images/800043424489623552/H3hJ0SR__normal.jpg,03:54:00,2016-12-20
995,2016-12-20 03:54:00,MinIT_Telangana,76485,False,52,165,1545 polluting units to be shifted out of ORR. Stringent pollution control norms to be implemented: @KTRTRS… https://t.co/rc13srmTdU,http://pbs.twimg.com/profile_images/754940414939967489/3pwrBmOT_normal.jpg,03:54:00,2016-12-20
996,2016-12-20 03:47:00,Dasthageer99,11097,True,21,0,"RT @MinIT_Telangana: Minister @KTRTRS spoke about positive impact of TSiPASS, in Legislative Council on Monday. https://t.co/zCtaxKYsIY",http://pbs.twimg.com/profile_images/800043424489623552/H3hJ0SR__normal.jpg,03:47:00,2016-12-20
997,2016-12-20 03:46:00,MinIT_Telangana,76485,False,21,60,"Minister @KTRTRS spoke about positive impact of TSiPASS, in Legislative Council on Monday. https://t.co/zCtaxKYsIY",http://pbs.twimg.com/profile_images/754940414939967489/3pwrBmOT_normal.jpg,03:46:00,2016-12-20
998,2016-12-20 02:52:00,Dasthageer99,11097,True,14,0,"RT @Telugu360: One of its kind initiative, TS iPASS enables more than 5 lakh jobs in Telangana tells @MinIT_Telangana @KTRTRS.
2016-12-20 02:26:27,MinIT_Telangana,76485,True,14,0,""RT @Telugu360: One of its kind initiative, TS iPASS enables more than 5 lakh jobs in Telangana tells @MinIT_Telangana @KTRTRS.
2016-12-19 21:40:04,TelanganaPost1,4434,True,1,0,""RT @ANKUSH_A2: @TelanganaCMO Develop Motherland, Shri Jogu Ramanna tells NRIs @RaoKavitha @KTRTRS https://t.co/uwyRc1cXVm",http://pbs.twimg.com/profile_images/771038240329588736/HhJlV76r_normal.jpg,02:52:00,2016-12-20
999,2016-12-19 11:53:00,srkolipa7,37,False,0,0,@MinIT_Telangana @KTRTRS at least think of the pollution and rash driving city buses make at IT corridor before u claim about development,http://pbs.twimg.com/profile_images/690560898939772930/KxG4_E-0_normal.jpg,11:53:00,2016-12-19
